TMDB ID,Title,Budget,IMDB ID,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters,Wikidata ID
829051,About My Father,29100000,tt8373206,2023-05-25,18167819,,,,,,,,,,,,,/hQUT2B0QVV17pYMHyLzdNGVdrBF.jpg,,,
814776,Bottoms,11300000,tt17527468,2023-08-25,12976079,,,,,,,,,,,,,/jeyTQrNEpyE1LZIgVlswYh3sc34.jpg,,,
1162322,After Death,40000000,tt21191906,2023-10-26,11537680,,,,,,,,,,,,,/jftgQ8mYaPFYf0UywgwgqimAkmu.jpg,,,
930564,Saltburn,20000000,tt17351924,2023-11-16,21013738,,,,,,,,,,,,,/zGTfMwG112BC66mpaveVxoWPOaB.jpg,,,
666277,Past Lives,12000000,tt13238346,2023-06-02,28126646,,,,,,,,,,,,,/rzO71VFu7CpJMfF5TQNMj0d1lSV.jpg,,,
916224,Suzume,0,tt16428256,2022-11-11,323638107,,,,,,,,,,,,,/yStW1TXF5s7Tbtu9KjIZEaWl6HL.jpg,,,
647250,The Machine,0,tt11040844,2023-05-25,0,,,,,,,,,,,,,/x9dGI7LIOMMlFzyIBUta1svft2Y.jpg,,,
9479,The Nightmare Before Christmas,18000000,tt0107688,1993-10-09,75634409,,,,,,,,,,,,,/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg,,,
1067282,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,0,tt26537229,2023-02-03,56319794,,,,,,,,,,,,,/hEhGrcST85vMd63PBDgPBqih2tR.jpg,,,
632065,House Party,0,tt8005118,2023-01-12,0,,,,,,,,,,,,,/KiyKR9m6h01eIvGObGmpt16U3F.jpg,,,
770906,Salaar: Part 1 - Ceasefire,34000000,tt13927994,2023-12-21,87229100,,,,,,,,,,,,,/mNHdClul57prczb5O0krrzyonnn.jpg,,,
1058694,Radical,10000000,tt14570440,2023-10-19,21761164,,,,,,,,,,,,,/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,,,
467244,The Zone of Interest,15000000,tt7160372,2023-12-15,48975567,,,,,,,,,,,,,/hUu9zyZmDd8VZegKi1iK1Vk0RYS.jpg,,,
798286,Beau Is Afraid,35000000,tt13521006,2023-04-14,12337378,,,,,,,,,,,,,/wgVkkjigF31r1nZV80uV0xNIoun.jpg,,,
1063453,BTS: Yet to Come in Cinemas,0,tt24807190,2023-02-01,29291883,,,,,,,,,,,,,/eWb45OsBHSO2t1j068bqDsPOGG9.jpg,,,
891699,Silent Night,0,tt15799866,2023-11-30,0,,,,,,,,,,,,,/nJCP1ZNTPKlZ7S0Kv3gbmuraAT4.jpg,,,
862557,The Hill,0,tt8051894,2023-08-18,7600000,,,,,,,,,,,,,/gKh28PVUqt1vY2oAdFlauXkDacW.jpg,,,
960876,Dunki,239000000,tt15428134,2023-12-21,501000000,,,,,,,,,,,,,/kPRb1mbVHGop0egQ7153y0lhzGL.jpg,,,
